round_epochs,val_loss,val_score,loss,score,Llayers,batch_size,nodes
100,0.0024900424440939912,-0.00248795747756958,0.0022184060083134797,-0.0022183945,1,32,10
100,0.0019002712053057494,-0.0018961320165544748,0.0015648140186756416,-0.0015649368,1,32,50
100,0.0015930048964600105,-0.0015898538986220956,0.0010756586504460058,-0.0010757174,1,32,100
100,0.0023786795621988386,-0.0023800779599696398,0.0022760785538786586,-0.0022731228,1,128,10
100,0.002148744681752,-0.002148048486560583,0.0018981362104755783,-0.0019006944,1,128,50
100,0.0018050662462546568,-0.0018091831589117646,0.0013825751694550243,-0.0013824105,1,128,100
100,0.002098784643117965,-0.0020947072189301252,0.0019628337117980517,-0.0019626082,2,32,10
100,0.0016204143800554638,-0.0016166234854608774,0.001229732460977656,-0.0012297675,2,32,50
100,0.0013551219938007927,-0.0013524889945983887,0.0007376272866872273,-0.0007376661,2,32,100
100,0.0023106026420625057,-0.0023134571965783834,0.002203104205663228,-0.0022016426,2,128,10
100,0.0018566023858462225,-0.0018539619632065296,0.0015998747328274862,-0.0015989112,2,128,50
100,0.0015893685477838377,-0.0015885826433077455,0.0011534968855282746,-0.0011535481,2,128,100
100,0.0021940752874753705,-0.0021918013226240873,0.0018588336435468454,-0.0018589194,3,32,10
100,0.0015701650347544464,-0.0015671590808779001,0.0011264026829650444,-0.0011262869,3,32,50
100,0.001459007313298268,-0.0014560614945366979,0.000734954495165609,-0.00073496497,3,32,100
100,0.0021190017886540033,-0.002121841302141547,0.002080485403329885,-0.0020783017,3,128,10
100,0.0018198460886617032,-0.0018198307370766997,0.001535628295487277,-0.0015341007,3,128,50
100,0.0015168567422105973,-0.0015135316643863916,0.0011122014667222166,-0.0011123953,3,128,100
